place,title,time,pay,date
서울 용산구,[신세계L&B] 신세계백화점 명동점 매장 와인판매 알바 모집(경력우대),10:30~20:30,"시급 11,000",5분전
서울 중구,[신세계L&B] 신세계백화점 명동점 매장 와인판매 알바 모집(경력우대),10:30~20:30,"시급 11,000",5분전
서울 종로구,[신세계L&B] 신세계백화점 명동점 매장 와인판매 알바 모집(경력우대),10:30~20:30,"시급 11,000",5분전
서울 서초구,[신세계L&B] 와인앤모어데일리 개포점 와인판매 스탭 모집,12:00~20:00,"시급 11,000",13분전
서울 강남구,[신세계L&B] 신세계백화점 강남점 와인판매 행사자모집(9/14~9/30),10:30~20:30,"시급 11,000",15분전
서울 강남구,[신세계L&B] 신세계백화점 강남점 와인판매 행사자모집(9/14~9/30),10:30~20:30,"시급 11,000",15분전
경기 용인시,"[신세계L&B] 신세계백화점 경기점 와인판매 알바(평일,와인경력자우대)",12:00~20:00,"시급 11,000",15분전
경기 용인시,"[신세계L&B] 신세계백화점 경기점 와인판매 알바(단기,와인경력자우대)",10:30~20:30,"일급 92,650",15분전
경기 수원시,[신세계L&B] 와인앤모어데일리 분당정자2호점 와인판매알바 모집(월7일이하,10:00~22:00,"시급 11,000",15분전
경기 용인시,[신세계L&B] 와인앤모어데일리 분당정자2호점 와인판매알바 모집(월7일이하,10:00~22:00,"시급 11,000",15분전
경기 성남시,[신세계L&B] 와인앤모어데일리 분당정자2호점 와인판매알바 모집(월7일이하,10:00~22:00,"시급 11,000",15분전
서울 강남구,[신세계L&B] 와인앤모어데일리 남부터미널점 와인판매 스탭 모집(9월~),13:00~21:00,"시급 11,000",16분전
서울 중구,[신세계L&B] 와인앤모어데일리 남부터미널점 와인판매 스탭 모집(9월~),13:00~21:00,"시급 11,000",16분전
경기 여주시,[신세계L&B] 와인앤모어 여주아울렛점 평일 와인판매/진열 알바(교통비지급,13:00~21:00,"시급 11,000",57분전
대구 중구,[신세계L&B] 비노앤플러스 대백프라자 매장 와인진열 알바 모집(2일),14:00~22:00,"시급 11,000",1시간전
부산 해운대,[신세계L&B] 신세계백화점 센텀시티점 장터 와인판매 알바(경력우대),11:00~20:00,"시급 11,000",1시간전
경기 수원시,[신세계L&B] 이마트 남양주점 와인명절세트 알바 모집(총 10일내외근무),13:00~22:00,"일급 92,650",2시간전
경기 부천시,[신세계L&B] 이마트 부천점 주류진열 알바 모집(9/17 하루),10:00~18:00,"일급 77,000",2시간전
경기 부천시,[신세계L&B] 이마트 부천점 와인명절세트 알바 모집(총 10일 근무),12:00~21:00,"일급 92,650",2시간전
경기 고양시,[신세계L&B] 와인앤모어 파주프리미엄아울렛점 매장 와인진열 알바 모집,13:00~21:00,"시급 11,000",3시간전
경기 파주시,[신세계L&B] 와인앤모어 파주프리미엄아울렛점 매장 와인진열 알바 모집,13:00~21:00,"시급 11,000",3시간전
경기 고양시,[신세계L&B] 와인앤모어 파주프리미엄아울렛점 매장 와인진열 알바 모집,13:00~21:00,"시급 11,000",3시간전
광주 전체,[신세계L&B] 신세계백화점 광주점  와인판매 알바 모집(9/11~29),12:00~20:00,"시급 11,000",5시간전
서울 강남구,[신세계L&B] 신세계백화점 강남점 와인판매 행사자모집(9/14~9/30),10:30~20:30,"시급 11,000",6시간전
대전 서구,[신세계L&B] 이마트 둔산점 와인명절세트 알바 모집(총 9일 근무),13:00~22:00,"일급 92,650",7시간전
서울 구로구,[신세계L&B] 이마트 구로점 와인명절세트 알바 모집(총 11일 근무),13:00~22:00,"일급 92,650",7시간전
경기 수원시,[신세계L&B] 이마트 광교점 와인명절세트 알바 모집(총 7일 근무),12:00~21:00,"일급 92,650",7시간전
경북 경산시,[신세계L&B] 이마트 경산점 와인명절세트 알바 모집(총 10일 근무),12:00~21:00,"일급 92,650",7시간전
서울 강남구,[신세계L&B] 갤러리아명품관 주류 진열알바 모집,17:00~22:00,"일급 52,500",8시간전
경기 이천시,[신세계L&B] 와인앤모어 여주아울렛점 평일 와인판매/진열 알바(교통비지급,13:00~21:00,"시급 11,000",8시간전
경기 성남시,[신세계L&B] 와인앤모어데일리 분당정자2호점 와인판매알바 모집(월7일이하,10:00~22:00,"시급 11,000",9시간전
경기 용인시,[신세계L&B] 와인앤모어데일리 분당정자2호점 와인판매알바 모집(월7일이하,10:00~22:00,"시급 11,000",9시간전
경기 용인시,"[신세계L&B] 신세계백화점 경기점 와인판매 알바(단기,와인경력자우대)",10:30~20:30,"일급 92,650",08/29
경기 고양시,[신세계L&B] 와인앤모어 파주프리미엄아울렛점 매장 와인진열 알바 모집,13:00~21:00,"시급 11,000",08/28
경기 고양시,[신세계L&B] 와인앤모어 파주프리미엄아울렛점 매장 와인시음 알바 모집,13:00~21:00,"시급 11,000",08/28
경기 여주시,[신세계L&B] 와인앤모어 여주아울렛점 평일 와인판매/진열 알바(교통비지급,13:00~21:00,"시급 11,000",08/28
경기 용인시,"[신세계L&B] 신세계백화점 경기점 와인판매 알바(평일,와인경력자우대)",12:00~20:00,"시급 11,000",08/23
