place,title,time,pay,date
경기 하남시,이마트 트레이더스 하남점 STAFF 모집,07:00~23:00,"시급 10,620",3분전
대구 달서구,[이마트 감삼점] 스태프35 모집,09:00~17:00,"시급 9,700",10분전
경기 안성시,"[이마트 안성점] 가공,축산,수산,패션 스태프(주5일근무)모집",09:00~17:00,"시급 9,700",36분전
경기 고양시,이마트 트레이더스 고양점 사원 모집(단기근로 포함),00:00~24:00,"시급 10,620",52분전
부산 전체,명지 스타필드시티] 토이킹덤 추석 시즌스태프 채용공고,10:00~22:00,"시급 9,700",2시간전
경기 고양시,이마트 트레이더스 고양점 사원 모집(단기근로 포함),00:00~24:00,"시급 10,620",2시간전
경기 화성시,[이마트 화성봉담점]스태프 모집(5일근무),10:00~18:00,"시급 9,700",2시간전
서울 도봉구,"[이마트 창동점]STAFF 모집 (주5일 근무, 2개월 단기)",07:00~23:00,"시급 9,700",2시간전
대전 서구,"[트레이더스월평점] 주5일,(주말2일)스태프 모집공고(주간/야간)",06:00~00:00,"시급 9,700",3시간전
경기 수원시,[트레이더스 수원점] 2020년 신규 스태프 사원 모집(주5일/2일근무),00:00~23:00,"시급 9,700",3시간전
강원 강릉시,[이마트 강릉점]스태프 모집안내,09:00~17:00,"시급 9,700",3시간전
인천 동구,[이마트 트레이더스 송림점] 스태프(주5일) 사원 모집,08:00~23:00,"시급 9,700",3시간전
충남 천안시,"[이마트 펜타포트점] 스태프 모집 (4주_시급9,700원)",14:00~22:00,"시급 9,700",9시간전
인천 동구,[이마트 트레이더스 송림점] 스태프(주5일) 사원 모집,08:00~23:00,"시급 9,700",08/30
경기 수원시,이마트 수원점 주 5일(STAFF35) 채용공고,09:00~23:00,"시급 9,700",08/30
서울 마포구,[이마트 마포점] 주5일 스태프사원 모집,09:00~17:00,"시급 9,700",08/30
서울 강서구,[이마트 가양점] 스태프 사원모집,13:00~21:00,"시급 10,620",08/30
경기 용인시,[이마트 흥덕점]  스태프 (주5일 근무) 사원모집,09:00~23:10,"시급 9,700",08/30
전북 군산시,[이마트 군산점] 농산 스태프 사원 모집,08:00~16:00,"시급 9,700",08/30
대전 서구,[이마트 둔산점]농산 STAFF 사원 모집,08:00~16:00,"시급 9,700",08/30
경기 군포시,이마트 트레이더스 군포점 STAFF 모집,06:00~23:00,"시급 9,700",08/30
경기 하남시,[이마트 트레이더스 하남점] STAFF 모집,07:00~23:00,"시급 10,620",08/29
충남 천안시,"[이마트 펜타포트점] 스태프 모집 (6개월이상_시급9,700원)",14:00~22:00,"시급 9,700",08/29
강원 원주시,(이마트원주점) 스태프35(주5일) 모집,10:00~18:00,"시급 9,700",08/29
경기 용인시,이마트 보라점 주5일 스태프 모집,07:00~15:00,"시급 9,700",08/28
경기 용인시,[이마트 동백점] 스태프(주5일) 사원모집(9월 末예정),09:00~23:10,"시급 9,700",08/27
서울 송파구,"[트레이더스위례점] 스태프35(주5일 근무),스태프14(주말2일)모집공고",06:00~23:00,"시급 10,620",08/26
경기 성남시,"[이마트 분당점] 주말 스태프 캐셔사원 모집(토,일 주2일 근무)",09:00~23:00,"시급 10,620",08/26
경기 수원시,[몰리스펫샵] 이마트 트레이더스 수원점 STAFF사원 모집(35H),09:00~17:00,"시급 9,700",08/26
인천 동구,[이마트 트레이더스 송림점] 스태프 사원모집(주말),09:00~23:00,"시급 10,620",08/25
경기 용인시,트레이더스 구성점 주5일 STAFF35 모집(장기/단기),06:00~14:00,"시급 9,700",08/25
경기 군포시,이마트 트레이더스 군포점 STAFF 모집,06:00~23:00,"시급 9,700",08/25
서울 전체,[이마트 구로점] 스태프 모집 주5일근무,09:00~17:00,"시급 9,700",08/24
경기 군포시,이마트 트레이더스 군포점 STAFF 모집,06:00~23:00,"시급 9,700",08/23
경기 하남시,[이마트 트레이더스 하남점] STAFF 모집,07:00~23:00,"시급 10,620",08/23
인천 동구,[이마트 트레이더스 송림점] 스태프(주5일) 사원 모집(2개월 근무),15:00~23:00,"시급 9,700",08/23
서울 서초구,이마트 양재점(주5일 근무) 스태프 모집,10:00~23:00,"시급 9,700",08/23
경기 전체,[PK마켓 위례점] 주5일 스태프 사원모집,09:00~17:00,"시급 9,700",08/23
경기 안성시,[이마트 안성점] 캐셔스태프(주5일근무)모집,10:00~18:00,"시급 9,700",08/23
경기 군포시,이마트 트레이더스 군포점 STAFF 모집,06:00~23:00,"시급 9,700",08/22
