place,title,time,pay,date
서울 강남구,홀써빙 알바 모집합니다,18:00~11:00,"시급 12,000",9분전
서울 송파구,깐부치킨 위례중앙점에서 성실한 홀직원을 구합니다,16:00~01:00,"월급 2,200,000",54분전
서울 영등포,깐부치킨 동여의도점 파트타이머 알바분들 모집해요~,18:00~00:00,"시급 9,000",3시간전
서울 서초구,깐부치킨 구반포점에서 270만원직원 및 9000원아르바이트 구합니다.,15:00~01:00,"시급 9,000",3시간전
경기 안산시,깐부치킨 안산고잔점 주방직원 모집합니다,15:00~01:00,"월급 1,950,000",5시간전
서울 전체,깐부치킨_한티점 홀서빙 알바 구합니다.,18:00~01:30,"시급 9,000",14시간전
서울 서초구,깐부치킨 구반포점에서 270만원직원 및 9000원아르바이트 구합니다.,15:00~01:00,"시급 9,000",23시간전
서울 영등포,깐부치킨 동여의도점 파트타이머 알바분들 모집해요~,18:00~00:00,"시급 9,000",23시간전
서울 강남구,깐부치킨 홀서빙 홀알바 모집합니다.,18:30~01:30,"시급 8,590",08/28
경기 시흥시,깐부치킨 시흥은계점에서 함께 하실 파트타이머 구합니다.,15:00~01:00,"시급 8,590",08/28
경기 시흥시,깐부치킨 시흥은계점에서 함께 하실 파트타이머 구합니다.,18:00~01:00,"시급 8,590",08/28
경기 시흥시,깐부치킨 시흥은계점에서 함께 하실 파트타이머 구합니다.,15:00~22:00,"시급 8,590",08/28
경기 시흥시,깐부치킨 시흥은계점에서 함께 하실 주방 실장 구합니다.,15:00~01:00,"월급 2,400,000",08/25
서울 서초구,깐부치킨 구반포점에서 아르바이트 구합니다.,15:00~01:00,"시급 9,000",08/25
경기 시흥시,깐부치킨 시흥은계점에서 함께 하실 파트타이머 구합니다.,15:00~01:00,"시급 8,590",08/25
경기 이천시,/깐부치킨/ 평일홀서빙 구합니다,18:00~21:00,"시급 9,000",08/24
경기 의정부,[금토일/시급8590] 성실하고 열정있는 홀서빙 구함(미성년자지원불가),18:30~02:00,"시급 8,590",08/23
서울 서초구,깐부치킨남부터미널점에서 평일 홀알바 모집합니다,06:00~11:00,"시급 9,000",08/23
서울 강남구,개포동 깐부치킨 마감 홀 서빙 알바 구합니다,21:00~01:30,"시급 9,000",08/22
서울 강남구,개포동 깐부치킨 주방직원을 구합니다,16:00~01:30,"월급 2,400,000",08/22
서울 전체,깐부치킨 광화문점에서 함께 근무할 홀 매니저 모집합니다,18:00~02:00,"월급 2,200,000",08/22
서울 전체,깐부치킨 광화문점에서 함께 근무할 홀 매니저 모집합니다,18:00~02:00,"월급 2,200,000",08/22
서울 전체,깐부치킨 광화문점에서 함께 근무할 홀 매니저 모집합니다,18:00~02:00,"월급 2,200,000",08/22
서울 전체,깐부치킨 광화문점에서 함께 근무할 홀 매니저 모집합니다,18:00~02:00,"월급 2,200,000",08/22
서울 강남구,-깐부치킨- / 홀서빙알바 구합니다.,18:00~01:00,"시급 10,000",08/21
경기 안산시,"깐부치킨 주3일주방보조, 주3일홀마감알바 모집합니다.",22:00~03:00,"시급 8,590",08/21
서울 영등포,깐부치킨 동여의도점 파트타이머 알바분들 모집해요~,18:00~00:00,"시급 9,000",08/20
서울 서초구,깐부치킨 구반포점에서 아르바이트 구합니다.,15:00~01:00,"시급 9,000",08/20
서울 용산구,깐부치킨 후암점 파트타이머 구합니다.,18:00~01:00,"시급 8,590",08/19
서울 영등포,깐부치킨 동여의도점 파트타이머 알바분들 모집해요~,18:00~00:00,"시급 9,000",08/18
서울 강남구,-깐부치킨- / 홀서빙알바 구합니다.,18:00~01:00,"시급 10,000",08/18
서울 전체,깐부치킨 대치역점 홀서빙 아르바이트 모집,18:00~23:00,"시급 9,000",08/18
서울 강남구,-깐부치킨- / 홀서빙알바 구합니다.,18:00~01:00,"시급 10,000",08/17
경기 성남시,깐부치킨 서현점 금토일 마감직원 구합니다,18:30~12:00,"월급 650,000",08/17
서울 중구,깐부치킨서울역비발디점 평일직원구해요(주5일),18:00~24:00,"월급 1,050,000",08/16
경기 안산시,홀서빙 아르바이트 모집합니다.,17:30~22:00,"시급 8,590",08/16
서울 용산구,평일/주말 홀 아르바이트 모집,18:00~23:00,"시급 9,000",08/16
