place,title,time,pay,date
부산 사하구,주방 이모님구함,18:00~20:00,"시급 9,000",1시간전
충남 천안시,[두찜직산점]에서 정직원을 모집합니다.이모님환영,14:00~21:00,"월급 1,500,000",2시간전
경북 포항시,두찜 주말 주방 아르바이트,17:00~22:00,"시급 8,590",2시간전
충남 천안시,[두찜성거점]에서 주말오전타임 남자알바분을 구합니다,11:00~15:00,"시급 8,600",2시간전
경기 남양주,두찜 다산점 주방보조 및 포장,09:00~12:00,"시급 9,000",5시간전
충남 계룡시,두찜 계룡점 주방보조 주말 저녁알바 구합니다,17:00~21:00,"시급 9,500",5시간전
인천 남동구,"두찜인천구월점 평일,주말알바구합니다.월~수,목~토(문자로만지원해주세요)",21:00~24:00,"시급 9,000",5시간전
서울 광진구,두찜광진구의점 주방 주말알바구합니다.,11:00~18:00,"시급 9,500",5시간전
서울 광진구,두찜광진구의점 주방 주말알바구합니다.,11:00~18:00,"시급 9,500",5시간전
세종 다정동,두찜과 함께하실 직원 및 아르바이트생 구합니다.,11:00~24:00,"월급 3,000,000",6시간전
충남 천안시,[두찜] 천안성환점에서 평일 오후타임 남자알바분을 모집합니다.,18:00~23:00,"시급 8,600",6시간전
서울 광진구,군자역 근처 매장  아르바이트 구합니다.~~,17:00~02:00,"시급 9,500",8시간전
세종 다정동,두찜과 함께하실 직원 및 아르바이트생 구합니다.,11:00~24:00,"월급 3,000,000",08/30
세종 다정동,두찜과 함께하실 직원 및 아르바이트생 구합니다.,11:00~24:00,"월급 3,000,000",08/29
대전 서구,간단 조리 보조 알바 모집,10:30~22:30,"시급 8,590",08/25
인천 부평구,[두찜 삼산점][배달포장전문점]주방 직원을 모집합니다,11:00~23:00,"월급 2,400,000",08/25
대전 서구,간단 조리 보조 알바 모집,10:30~22:30,"시급 8,590",08/24
경기 화성시,홀관리 및 POS주문/포장 하실 분을 구합니다.,16:00~21:00,"시급 8,590",08/24
대전 서구,간단 조리 보조 알바 4명 모집,10:30~22:30,"시급 8,590",08/23
인천 중구,두찜  오후에 같이 일해요,18:00~22:00,"시급 10,000",08/22
부산 연제구,두찜 부산연산점 정직원 모집합니다,11:00~23:00,"월급 2,700,000",08/22
인천 중구,두찜 영종운서점  같이 일할분 구해요,11:00~02:00,"시급 10,000",08/22
전북 전주시,두찜 전주효자1호점 근무자 구합니다,00:00~24:00,"시급 8,590",08/19
경기 전체,"[두찜 부천소사점] 주6일,주말,저녁파트 직원을 모집합니다",11:00~23:00,"월급 2,800,000",08/18
충북 진천군,두찜진천점 주방매니저 구합니다.,16:00~22:00,"월급 2,000,000",08/17
경기 남양주,두찜(남양주덕소점)아르바이트구함(홀.주방보조)구함,17:00~22:00,"시급 9,000",08/16
인천 부평구,[두찜 삼산점][배달포장전문점]주방 직원을 모집합니다,10:00~22:00,"시급 8,590",08/16
경기 전체,[두찜 부천소사점] [배달전문점] 주6일 직원을 모집합니다,11:00~23:00,"월급 2,800,000",08/15
서울 성동구,배달전문찜닭 두찜에서 함께일할 직원을 모집합니다.,12:00~24:00,"월급 2,800,000",08/15
서울 성동구,배달전문찜닭 두찜에서 함께일할 직원을 모집합니다.,12:00~24:00,"월급 2,800,000",08/15
경기 화성시,주방직원 모집,10:00~22:00,"월급 2,900,000",08/15
경기 화성시,주방직원 모집,10:00~22:00,"월급 2,900,000",08/15
경기 화성시,주방직원 모집,10:00~22:00,"월급 2,900,000",08/15
경기 화성시,주방직원 모집,10:00~22:00,"월급 2,900,000",08/15
경기 광명시,시급8590원)두찜 광명역점 홀서빙모집,19:00~22:30,"시급 8,590",08/15
전남 목포시,주말(금~일)오후  5시30분~8시30분 구합니다,17:30~21:00,"시급 8,590",08/15
전남 목포시,주말(금~일)오후  5시30분~8시30분 구합니다,17:30~21:00,"시급 8,590",08/15
전남 목포시,주말(금~일)오후  5시30분~8시30분 구합니다,17:30~21:00,"시급 8,590",08/15
전남 목포시,주말(금~일)오후  5시30분~8시30분 구합니다,17:30~21:00,"시급 8,590",08/15
부산 부산진,두찜 당감점 주방보조 및 서빙 알바구함,18:00~21:00,"시급 9,000",08/15
