place,title,time,pay,date
경기 성남시,또봉이통닭 성남서현점 알바모집,19:00~23:00,"시급 10,000",34분전
경기 성남시,또봉이통닭 성남서현점 알바모집,19:00~23:00,"시급 10,000",2시간전
경기 성남시,또봉이통닭 성남서현점 알바모집,19:00~23:00,"시급 10,000",2시간전
경기 성남시,또봉이통닭 성남서현점 알바모집,19:00~23:00,"시급 10,000",2시간전
경기 화성시,또봉이통닭 신리천카페거리점에서 아르바이트를 구합니다,18:30~23:30,"시급 9,000",08/25
경기 화성시,또봉이통닭 신리천카페거리점에서 아르바이트를 구합니다,18:30~23:30,"시급 9,000",08/25
경기 화성시,또봉이통닭 신리천카페거리점에서 아르바이트를 구합니다,18:30~23:30,"시급 9,000",08/24
경기 평택시,"또봉이통닭 세교힐스테이트점 홀, 주방 파트타임 모집합니다.",18:00~24:00,"시급 10,000",08/22
경기 평택시,"또봉이통닭 세교힐스테이트점 홀, 주방 파트타임 모집합니다.",18:00~24:00,"시급 10,000",08/22
경기 평택시,"또봉이통닭 세교힐스테이트점 홀, 주방 파트타임 모집합니다.",18:00~24:00,"시급 10,000",08/22
경기 용인시,"또봉이통닭 용인마평점에서 서빙, 주방보조 하실분 구해요.",19:00~24:00,"시급 8,700",08/22
경기 용인시,"또봉이통닭 용인마평점에서 서빙, 주방보조 하실분 구해요.",19:00~24:00,"시급 8,700",08/22
경기 평택시,또봉이통닭 평택 우미린센트럴점 홀서빙 구함,20:00~23:00,"시급 9,000",08/22
경기 평택시,또봉이통닭 평택 우미린센트럴점 홀서빙 구함,20:00~23:00,"시급 9,000",08/22
경기 평택시,또봉이통닭 평택 우미린센트럴점 홀서빙 구함,19:00~23:00,"시급 8,700",08/22
경기 화성시,또봉이통닭 향남상신리점에서 홀서빙 알바를 구합니다,18:00~22:00,"시급 8,590",08/22
경기 화성시,또봉이통닭 향남상신리점에서 홀서빙 알바를 구합니다,18:00~22:00,"시급 8,590",08/22
경기 화성시,또봉이통닭 향남상신리점에서 홀서빙 알바를 구합니다,18:00~22:00,"시급 8,590",08/22
경기 평택시,또봉이통닭 동삭더샵점에서 주방 알바를 구합니다.,18:30~22:30,"시급 8,600",08/22
경기 평택시,또봉이통닭 동삭더샵점에서 주방 알바를 구합니다.,18:30~22:30,"시급 8,600",08/22
경기 평택시,또봉이통닭 동삭더샵점에서 주방 알바를 구합니다.,18:30~22:30,"시급 8,600",08/22
경기 평택시,또봉이통닭 동삭더샵점에서 주방 알바를 구합니다.,18:30~22:30,"시급 8,600",08/22
경기 평택시,또봉이통닭 동문맘시티점에서 아르바이트 구합니다.,19:00~24:00,"시급 8,590",08/17
경기 화성시,또봉이통닭 향남상신리점에서 홀서빙 알바를 구합니다,18:00~22:00,"시급 8,590",08/15
