place,title,time,pay,date
부산 해운대,해운대 롤링핀 월 화 마감 모집,02:00~21:00,"시급 8,590",1시간전
부산 해운대,해운대 롤링핀 월 화 마감 모집,02:00~21:00,"시급 8,590",1시간전
부산 해운대,해운대 롤링핀 월 화 마감 모집,02:00~21:00,"시급 8,590",1시간전
서울 서초구,롤링핀 어반플레이스점 주말오픈 알바모집,08:00~16:00,"시급 8,590",1시간전
서울 서초구,롤링핀 어반플레이스점 주말오픈 알바모집,08:00~16:00,"시급 8,590",1시간전
서울 서초구,롤링핀 어반플레이스점 주말오픈 알바모집,08:00~16:00,"시급 8,590",1시간전
경기 성남시,[월급200만원/주5일 근무] 롤링핀 야탑점에서 제빵사 모집합니다,06:00~15:00,"월급 2,000,000",1시간전
경기 성남시,[월급200만원/주5일 근무] 롤링핀 야탑점에서 제빵사 모집합니다,06:00~15:00,"월급 2,000,000",1시간전
경기 성남시,[월급200만원/주5일 근무] 롤링핀 야탑점에서 제빵사 모집합니다,06:00~15:00,"월급 2,000,000",1시간전
대구 수성구,"롤링핀 수성못점 일(격주),월,화,금 오전~미들 근무자를 모집합니다",09:30~15:00,"시급 8,590",1시간전
대구 수성구,"롤링핀 수성못점 일(격주),월,화,금 오전~미들 근무자를 모집합니다",09:30~15:00,"시급 8,590",1시간전
대구 수성구,"롤링핀 수성못점 일(격주),월,화,금 오전~미들 근무자를 모집합니다",09:30~15:00,"시급 8,590",1시간전
경기 성남시,"롤링핀 세곡점에서 주3회(수,목,금)파트타이머  모집합니다.",08:00~15:00,"시급 10,500",2시간전
서울 서초구,롤링핀센트럴시티점  주말 알바구합니다,12:00~18:00,"시급 8,590",2시간전
서울 서초구,롤링핀센트럴시티점  주말 알바구합니다,12:00~18:00,"시급 8,590",2시간전
서울 서초구,롤링핀센트럴시티점  주말 알바구합니다,12:00~18:00,"시급 8,590",2시간전
경기 성남시,"롤링핀 세곡점에서 주4회(월,화,목,금)파트타이머 모집합니다.",10:00~16:00,"시급 10,500",2시간전
서울 강남구,롤링핀 포스코사거리점 주말 알바,09:00~15:00,"시급 8,600",5시간전
서울 서초구,롤링핀센트럴시티점  주말 알바구합니다,12:00~18:00,"시급 8,590",6시간전
대구 수성구,"롤링핀 수성못점 일(격주),월,화,금 오전~미들 근무자를 모집합니다",09:30~15:00,"시급 8,590",22시간전
경북 구미시,롤링핀 구미강동점에서 주말 마감 파트타임 구합니다,17:00~22:00,"시급 8,590",08/29
경북 구미시,롤링핀 구미강동점에서 주말 마감 파트타임 구합니다,17:00~22:00,"시급 8,590",08/28
경북 구미시,롤링핀 구미금오산점 주말 마감알바 구합니다.,18:30~21:30,"시급 8,590",08/25
경기 남양주,롤링핀 별내카페거리점 주말 아르바이트 모집합니다,09:00~15:00,"시급 8,590",08/25
경북 구미시,롤링핀 구미금오산점 주말 마감알바 구합니다.,18:30~21:30,"시급 8,590",08/23
경북 구미시,롤링핀 직원 모집,09:00~23:00,"월급 2,000,000",08/23
경북 구미시,롤링핀 직원 모집,09:00~23:00,"월급 2,000,000",08/22
경기 이천시,"롤링핀 이천점 홀 직원, 매니저 및 제빵사 모집",08:00~22:00,"시급 10,308",08/22
세종 대평동,롤링핀 세종수변공원점 직원 및 알바모집 합니다.,09:10~11:20,"시급 8,590",08/22
세종 대평동,롤링핀 세종수변공원점 직원 및 알바모집 합니다.,09:10~11:20,"시급 8,590",08/22
세종 대평동,롤링핀 세종수변공원점 직원 및 알바모집 합니다.,09:10~11:20,"시급 8,590",08/22
세종 나성동,롤링핀 세종점 직원 및 알바모집 합니다.,09:00~09:10,"시급 8,590",08/22
세종 나성동,롤링핀 세종점 직원 및 알바모집 합니다.,09:00~09:10,"시급 8,590",08/22
세종 나성동,롤링핀 세종점 직원 및 알바모집 합니다.,09:00~09:10,"시급 8,590",08/22
경기 성남시,[월급200만원/주5일 근무] 롤링핀 야탑점에서 제빵사 모집합니다,06:00~15:00,"월급 2,000,000",08/22
경북 구미시,롤링핀 구미금오산점 주말 마감알바 구합니다.,18:30~21:30,"시급 8,590",08/22
서울 중구,롤링핀 을지로점에서 제빵사를 모집합니다.,06:30~15:30,"월급 1,900,000",08/22
전남 여수시,롤링핀여수(웅천점) (토일:12시-18시)롤링핀 여수 웅천점 주말알바 구함,12:00~18:00,"시급 8,590",08/22
전남 여수시,롤링핀여수(웅천점) (토일:12시-18시)롤링핀 여수 웅천점 주말알바 구함,12:00~18:00,"시급 8,590",08/22
전남 여수시,롤링핀여수(웅천점) (토일:12시-18시)롤링핀 여수 웅천점 주말알바 구함,12:00~18:00,"시급 8,590",08/22
