place,title,time,pay,date
대전 중구,청년다방 대전은행점에서 함께 열정을 태울 정직원 청년을 기다립니다,10:30~22:00,"월급 2,400,000",1분전
경기 안양시,"[홀서빙]청년다방 안양일번가점(목,금 저녁)",17:00~21:30,"시급 8,590",53분전
경기 안양시,[홀서빙]청년다방 안양예술공원점[주방조리],11:00~21:00,"시급 8,590",56분전
경기 안양시,[홀서빙]청년다방 안양예술공원점,16:00~21:00,"시급 8,590",1시간전
경북 경주시,은화수식당  경주황성점  금토일 오후 알바,17:00~21:00,"시급 8,590",2시간전
경북 경주시,은화수식당  경주황성점  금토일 오후 알바,17:00~21:00,"시급 8,590",2시간전
대전 유성구,청년다방 대전궁동점에서 함께하실 여직원분 모집합니다.,10:30~22:00,"월급 2,400,000",2시간전
강원 강릉시,강릉 청년다방 주방 직원 모집합니다.,11:00~22:30,"월급 2,500,000",3시간전
충남 아산시,청년다방 아산터미널점 평일 주방보조 구합니다.,17:00~21:00,"시급 8,600",7시간전
부산 해운대,[급구]오후주방경력직원(5시~11시),17:00~23:00,"월급 1,200,000",7시간전
충북 청주시,청년다방지웰시티점 직원 및 파트타임모집,10:00~22:00,"시급 8,590",7시간전
경기 화성시,청년다방 화성남양점 아르바이트 모집합니다,11:00~20:00,"시급 8,590",8시간전
충북 청주시,청년다방지웰시티점 직원 및 파트타임모집,10:00~22:00,"시급 8,590",08/30
경기 남양주,청년다방 호평점 주방(평일) 아르바이트,18:00~22:00,"시급 8,600",08/29
경기 남양주,청년다방 호평점 주방 (평일) 아르바이트,11:00~15:00,"시급 8,600",08/29
경기 남양주,청년다방 호평점 주방 아르바이트,11:00~15:00,"시급 8,600",08/29
강원 강릉시,"강릉 청년다방 홀 아르바이트(주중 오전,오후)모집",11:00~00:00,"시급 8,590",08/29
경기 안양시,"[홀서빙]청년다방 안양일번가점(토,일 저녁)",17:00~21:30,"시급 8,590",08/29
부산 해운대,[급구]평일오전(11시~3시) 평일오후(6시~11시)홀써빙,11:00~15:00,"시급 8,590",08/29
전남 여수시,청년다방 여수학동점 주말 홀 알바 모집,17:00~22:00,"시급 8,590",08/29
경기 시흥시,시흥 능곡역점 청년다방 평일 오전 같이 하실 친구분구합니다,11:00~15:00,"시급 10,000",08/28
전남 여수시,청년다방 여수학동점 오전 주방 직원 구합니다,10:30~16:30,"월급 1,400,000",08/28
경기 이천시,"이천창전점 ]주방보조,설거지 모집",10:00~16:00,"시급 9,000",08/28
인천 부평구,"청년다방 인천삼산점 주방직원(주5일, 48~50시간) 구합니다",10:00~22:00,"월급 2,100,000",08/27
충남 아산시,은화수식당/ 아산터미널 / 풀타임/남직원구함,10:30~21:00,"시급 8,590",08/26
서울 구로구,동양미래대점 (주방직원모집),10:30~22:00,"월급 2,300,000",08/26
인천 부평구,청년다방 부평역점 홀직원구합니다.,11:00~22:00,"월급 2,550,000",08/26
충남 아산시,은화수식당/ 아산터미널 / 주6일 / 직원구함/풀타임/,10:30~21:00,"시급 8,590",08/26
충남 논산시,청년다방오거리점,17:30~21:30,"시급 8,600",08/24
부산 부산진,은화수 식당 전포본점 정직원 가족 모집합니다~~,11:00~22:00,"시급 8,590",08/24
경기 화성시,JMT떡볶이를 만들어 주세요,10:00~22:00,"월급 2,300,000",08/23
경기 화성시,JMT떡볶이를 만들어 주세요,10:00~22:00,"월급 2,300,000",08/23
경기 성남시,위례신도시점 평일 저녁 주방보조 구합니다.,17:00~22:00,"시급 8,590",08/22
부산 해운대,[홀써빙] 주중오후 (커피&배민 경력자),18:00~23:00,"시급 8,590",08/21
충북 청주시,청년다방지웰시티점 직원 및 파트타임모집,10:00~22:00,"시급 8,590",08/21
경북 경주시,은화수식당 경주황성점 평일알바모집,11:30~14:00,"시급 8,590",08/21
경북 구미시,청년다방  원평점   주방직원 (경력직)  모집,10:30~22:00,"월급 2,400,000",08/20
경기 안산시,매장관리 및 홀서빙,10:00~22:00,"시급 8,590",08/20
경기 평택시,평택 청년다방 고덕신도시점,11:00~22:00,"시급 9,000",08/20
대구 북구,청년다방 파트타임 구합니다.(내용확인 꼭 해주세요),17:00~23:00,"시급 8,590",08/17
